"","female","tree","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","total_days_alive","fate","X","CommonName","sciName","Location","location","preferred_hostGenus","MA_native","westernMA_native","cultivated","hybrid_cultivar","edible","tip_label","distance","tree_type"
"1","A","A",1,1,1,1,1,1,1,1,1,1,1,11,1,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"2","A","A",1,1,1,1,1,1,1,1,1,1,1,11,1,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"3","A","A",1,1,1,1,1,1,1,1,1,1,1,11,1,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"4","A","A",1,1,1,1,1,1,1,1,1,1,1,11,1,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"5","A","A",1,1,1,1,0,0,0,0,0,0,0,4,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"6","A","A",1,1,1,1,0,0,0,0,0,0,0,4,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"7","A","A",1,1,1,1,0,0,0,0,0,0,0,4,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"8","A","A",1,1,1,1,0,0,0,0,0,0,0,4,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"9","A","A",1,1,1,1,0,0,0,0,0,0,0,4,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"10","A","A",1,1,1,1,0,0,0,0,0,0,0,4,2,1,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"11","A","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"12","A","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"13","A","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"14","A","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"15","A","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"16","A","B",1,1,1,1,1,1,1,1,1,1,1,11,1,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"17","A","B",1,1,1,1,1,1,1,1,1,0,0,9,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"18","A","B",1,1,1,1,1,1,0,0,0,0,0,6,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"19","A","B",1,1,1,1,0,0,0,0,0,0,0,4,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"20","A","B",1,0,0,0,0,0,0,0,0,0,0,1,2,2,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no",38537,0,"Black Cherry"
"21","A","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"22","A","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"23","A","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"24","A","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"25","A","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"26","A","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"27","A","C",1,1,1,1,1,1,1,1,1,1,1,11,1,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"28","A","C",1,1,1,1,1,1,1,1,1,0,0,9,2,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"29","A","C",1,1,1,1,1,1,1,1,0,0,0,8,2,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"30","A","C",1,1,1,1,1,0,0,0,0,0,0,5,2,3,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no",38537,0,"Black Cherry"
"31","A","D",1,1,1,1,1,0,0,0,0,0,0,5,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"32","A","D",1,1,1,1,1,0,0,0,0,0,0,5,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"33","A","D",1,1,1,1,0,0,0,0,0,0,0,4,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"34","A","D",1,1,1,1,0,0,0,0,0,0,0,4,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"35","A","D",1,1,1,1,0,0,0,0,0,0,0,4,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"36","A","D",1,1,1,1,0,0,0,0,0,0,0,4,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"37","A","D",1,1,1,1,0,0,0,0,0,0,0,4,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"38","A","D",1,1,1,1,0,0,0,0,0,0,0,4,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"39","A","D",1,1,1,0,0,0,0,0,0,0,0,3,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"40","A","D",1,1,1,0,0,0,0,0,0,0,0,3,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"41","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"42","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"43","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"44","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"45","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"46","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"47","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"48","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"49","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,4,"Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"50","A","D",1,1,0,0,0,0,0,0,0,0,0,2,2,5,"Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no",30645,222.297,"NonHost"
"51","A","E",1,1,1,1,1,1,1,0,0,0,0,7,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"52","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"53","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"54","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"55","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"56","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"57","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"58","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"59","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
"60","A","E",1,1,0,0,0,0,0,0,0,0,0,2,2,6,"Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no",38511,53.06,"Nonnative Cherry"
