"","Tree","CommonName","sciName","Location","location","preferred_hostGenus","MA_native","westernMA_native","cultivated","hybrid_cultivar","edible","tip_label","distance"
"1","A","Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no","38537","0"
"2","B","Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no","38537","0"
"3","C","Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no","38537","0"
"4","D","Sweet Birch","Betula_lenta","rural","Bearhole 2","no","yes","yes","no","no","no","30645","222.297"
"5","D","Sweet Birch","Betula_lenta","rural","Shutesbury","no","yes","yes","no","no","no","30645","222.297"
"6","E","Kwanzan Cherry","Prunus_serrulata","planted","Springfield","yes","no","no","yes","no","no","38511","53.06"
"7","F","Red-leaf Plum","Prunus_cerasifera","planted","Butterfield Terrace","yes","no","no","yes","yes","no","38451","53.06"
"8","G","Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no","38504","53.06"
"9","H","Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no","38508","53.06"
"10","I","Chokecherry","Prunus_virginiana","rural","Shutesbury","yes","yes","yes","no","no","no","38581","46.63"
"11","J","Fire Cherry","Prunus_pensylvanica","rural","Wendell","yes","yes","yes","no","no","no","38516","53.06"
"12","K","Canada Plum","Prunus_nigra","rural","Wendell","yes","yes","yes","no","no","no","38447","53.06"
"13","L","Sand Cherry","Prunus_pumila","planted","Umass","yes","yes","no","yes","no","no","38592","58.61"
"14","M","Maritime Plum","Prunus_maritima","planted","Umass","yes","yes","no","yes","no","yes","38443","53.06"
"15","N","unknown cherry","unknown","planted","Umass","yes","no","no","yes","no","no","NA","NA"
"16","O","Flowering Cherry","Prunus_subhirtella","planted","Umass","yes","no","no","yes","yes","no","38504","53.06"
"17","P","Sweet Cherry","Prunus_avium","planted","Umass","yes","no","no","yes","no","yes","38520","53.06"
"18","Q","Aronia","Aronia_melanocarpa","rural","shutesbury","no","yes","yes","no","no","no","36653","101.4665"
"19","R","Yoshi Cherry","Prunus_speciosa","planted","umass","yes","no","no","yes","yes","no","38628","58.61"
