"","female","tree","weight_g","date","instar","observer","notes","ID","hatchday","age","weight_g_numeric","CommonName","sciName","Location","location","preferred_hostGenus","MA_native","westernMA_native","cultivated","hybrid_cultivar","edible","tip_label","distance","tree_type"
"1","A","G","0.59340000000000004",2021-08-05,4,"AH","NA","AG",2021-06-25,41,0.5934,"Higan Weeping Cherry","Prunus_subhirtella","planted","Franklin Commons","yes","no","no","yes","yes","no","38504","53.06","Non-native Cherry
n=26"
"2","F","C","1.0118",2021-08-05,4,"AH","NA","FC",2021-06-29,37,1.0118,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no","38537","0","Black Cherry
n=46"
"3","F","C","1.3293999999999999",2021-08-05,4,"AH","NA","FC",2021-06-29,37,1.3294,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no","38537","0","Black Cherry
n=46"
"4","C","A","1.1045",2021-08-05,4,"AH","NA","CA",2021-06-27,39,1.1045,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no","38537","0","Black Cherry
n=46"
"5","B","C","1.3673999999999999",2021-08-05,4,"AH","NA","BC",2021-06-27,39,1.3674,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no","38537","0","Black Cherry
n=46"
"6","B","C","1.9361999999999999",2021-08-05,4,"AH","NA","BC",2021-06-27,39,1.9362,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no","38537","0","Black Cherry
n=46"
"7","A","C","0.75460000000000005",2021-08-05,4,"AH","NA","AC",2021-06-25,41,0.7546,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no","38537","0","Black Cherry
n=46"
"8","A","C","1.2101999999999999",2021-08-05,4,"AH","NA","AC",2021-06-25,41,1.2102,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no","38537","0","Black Cherry
n=46"
"9","A","C","0.46400000000000002",2021-08-05,4,"AH","NA","AC",2021-06-25,41,0.464,"Black Cherry","Prunus_serotina","planted","Springfield","yes","yes","yes","yes","no","no","38537","0","Black Cherry
n=46"
"10","A","B","1.7986",2021-08-05,4,"AH","NA","AB",2021-06-25,41,1.7986,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no","38537","0","Black Cherry
n=46"
"11","B","B","3.7477",2021-08-05,4,"AH","NA","BB",2021-06-27,39,3.7477,"Black Cherry","Prunus_serotina","Urban","Abbey Brook","yes","yes","yes","no","no","no","38537","0","Black Cherry
n=46"
"12","B","H","0.33529999999999999",2021-08-05,3,"AH","NA","BH",2021-06-27,39,0.3353,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no","38508","53.06","Non-native Cherry
n=26"
"13","A","H","0.56950000000000001",2021-08-05,3,"AH","NA","AH",2021-06-25,41,0.5695,"Okame Cherry","Prunus_incisa","planted","Springfield","yes","no","no","yes","yes","no","38508","53.06","Non-native Cherry
n=26"
"14","I","A","0.57999999999999996",2021-08-28,4,"DLN","NA","IA",2021-07-21,38,0.58,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no","38537","0","Black Cherry
n=46"
"15","I","A","0.42",2021-08-28,4,"DLN","NA","IA",2021-07-21,38,0.42,"Black Cherry","Prunus_serotina","Rural","Shutesbury","yes","yes","yes","no","no","no","38537","0","Black Cherry
n=46"
